Question,Answer,Answer Key,A,B,C,D,E,Source
미즈모리의 순화어로 알맞은 것은?,수평보기,E,둥근,모접기,분배,마무리,수평보기,고용노동부
오사마리의 순화어로 알맞은 것은?,마감하기,A,마감하기,준비,계단참,테이프 자,걸레받이,고용노동부
누리지의 순화어로 알맞은 것은?,바름바탕,C,씻어내기,조립,바름바탕,경사,고르기,고용노동부
보도시메의 순화어로 알맞은 것은?,볼트 조이기,C,모접기,드릴,볼트 조이기,발돋움대,도금,고용노동부
야마도메의 순화어로 알맞은 것은?,흙막이,C,비계공,드릴,흙막이,폭,벽돌 흙손,고용노동부
마끼까이의 순화어로 알맞은 것은?,되감기,A,되감기,변통,수평보기,"틀, 본",끌,고용노동부
사꾸리의 순화어로 알맞은 것은?,홈파기,A,홈파기,고창,수도꼭지,다시하기,계단참,고용노동부
호리가다의 순화어로 알맞은 것은?,터파기,A,터파기,넓은날 정,누름,통나무,세로,고용노동부
구미다메의 순화어로 알맞은 것은?,조립,C,모접기,토공,조립,버팀대,줄눈,고용노동부
가리시메의 순화어로 알맞은 것은?,임시 조이기,B,가새,임시 조이기,각목,둥근톱,계단참,고용노동부
아리이다시의 순화어로 알맞은 것은?,씻어내기,E,대기,받침목(써포트),주인,풀칠,씻어내기,고용노동부
야리나오시의 순화어로 알맞은 것은?,다시하기,D,맞닿기,"반장,우두머리",원척도,다시하기,나사송곳,고용노동부
가네고데의 순화어로 알맞은 것은?,쇠흙손,A,쇠흙손,대기,도급주기,안고 돌기,반투명 유리,고용노동부
고데의 순화어로 알맞은 것은?,흙손,A,흙손,바름바탕,고르기,사선,테이프 자,고용노동부
기고데의 순화어로 알맞은 것은?,나무 흙손,C,쐐기,합판,나무 흙손,바닥,톱니(산),고용노동부
보루방의 순화어로 알맞은 것은?,드릴,C,바닥,현장식당,드릴,장선,대,고용노동부
빠루의 순화어로 알맞은 것은?,못뽑기 공구,A,못뽑기 공구,뿜칠,계단참,숙련공,도급,고용노동부
오삽의 순화어로 알맞은 것은?,평삽,D,결속선,원척도,도급,평삽,무쟁이,고용노동부
구루마의 순화어로 알맞은 것은?,수레,B,버림 콘크리트,수레,흙막이,누름,합판,고용노동부
노미의 순화어로 알맞은 것은?,끌,E,현장식당,변통,풀칠,고르기,끌,고용노동부
마끼자의 순화어로 알맞은 것은?,테이프 자,A,테이프 자,반투명 유리,임시 조이기,무쟁이,채양,고용노동부
사게부리의 순화어로 알맞은 것은?,다림추,A,다림추,대,토공,수레,뿜칠,고용노동부
야스리의 순화어로 알맞은 것은?,줄,B,수도꼭지,줄,손비빔,"반장,우두머리",창선반,고용노동부
헤라의 순화어로 알맞은 것은?,주걱,D,걸레받이,먹둘놓기,풀칠,주걱,누름,고용노동부
다가네의 순화어로 알맞은 것은?,넓은날 정,C,두루마리,조립,넓은날 정,풀칠,옷장,고용노동부
기리의 순화어로 알맞은 것은?,송곳,D,철물,가불,"틀, 본",송곳,줄눈,고용노동부
데꼬의 순화어로 알맞은 것은?,지렛대,E,경첩(힌지),무쟁이,기초,폭,지렛대,고용노동부
렝가고데의 순화어로 알맞은 것은?,벽돌 흙손,E,3치,품,"뇟쇠, 황동",고르기,벽돌 흙손,고용노동부
기무네의 순화어로 알맞은 것은?,나사송곳,C,틀,멍에,나사송곳,토관,창틀,고용노동부
겐노오의 순화어로 알맞은 것은?,쇠메,C,버림 콘크리트,못뽑기 공구,쇠메,바닥,송곳,고용노동부
마루간나의 순화어로 알맞은 것은?,원형대패,C,한장,손비빔,원형대패,속임수,수레,고용노동부
마루노꼬의 순화어로 알맞은 것은?,둥근톱,A,둥근톱,도금,현장식당,반장,걸레받이,고용노동부
사꾸리 간나의 순화어로 알맞은 것은?,홈파기 대패,C,고르기,벽돌 흙손,홈파기 대패,두루마리,안고 돌기,고용노동부
아미의 순화어로 알맞은 것은?,"그물, 망",E,마감하기,동바리,철물,문지방,"그물, 망",고용노동부
간죠의 순화어로 알맞은 것은?,"지불, 계산",A,"지불, 계산",반장,주인,비계,흙손,고용노동부
당고오의 순화어로 알맞은 것은?,담합,D,기둥,창호,고창,담합,서까래,고용노동부
데마찌의 순화어로 알맞은 것은?,대기,B,씻어내기,대기,중도리,누름,토대,고용노동부
겐또의 순화어로 알맞은 것은?,짐작,B,현장식당,짐작,볼트 조이기,물끊기,도급주기,고용노동부
데마의 순화어로 알맞은 것은?,품,D,중간책,송곳,3치,품,고르기,고용노동부
함바의 순화어로 알맞은 것은?,현장식당,B,무쟁이,현장식당,홈파기,못뽑기 공구,출역,고용노동부
데즈라의 순화어로 알맞은 것은?,출역,E,볼트 조이기,도급,거푸집,도급주기,출역,고용노동부
돈내기의 순화어로 알맞은 것은?,도급,D,둥근면,지렛대,헛간,도급,먹둘놓기,고용노동부
마이가리의 순화어로 알맞은 것은?,가불,B,고르기,가불,3치,각목,출역,고용노동부
모찌꼬미의 순화어로 알맞은 것은?,안고 돌기,D,반투명 유리,합판,계단 챌면,안고 돌기,홈파기 대패,고용노동부
시마이의 순화어로 알맞은 것은?,종료,A,종료,도금,가새,채양,다시하기,고용노동부
분빠이의 순화어로 알맞은 것은?,분배,C,윗면,비계공,분배,통나무,두장,고용노동부
야리끼리의 순화어로 알맞은 것은?,도급주기,A,도급주기,모접기,수평보기,현장식당,틀,고용노동부
야미의 순화어로 알맞은 것은?,암거래,B,밑면,암거래,줄,둥근봉,단골,고용노동부
우께도리의 순화어로 알맞은 것은?,도급,E,두루마리,풀칠,제치장,유리,도급,고용노동부
야리꾸리의 순화어로 알맞은 것은?,변통,A,변통,고치기,속임수,입방미터,채양,고용노동부
고마까시의 순화어로 알맞은 것은?,속임수,C,멍에,종료,속임수,창호,난간,고용노동부
야지의 순화어로 알맞은 것은?,야유,D,대,맞닿기,쐐기,야유,옷장,고용노동부
루베의 순화어로 알맞은 것은?,입방미터,E,숙련공,볼트 조이기,경첩(힌지),드릴,입방미터,고용노동부
마기의 순화어로 알맞은 것은?,두루마리,A,두루마리,다시하기,버림 콘크리트,모접기,수도꼭지,고용노동부
만땅의 순화어로 알맞은 것은?,가득,D,합판,늘리기,문소란,가득,3치,고용노동부
사이의 순화어로 알맞은 것은?,재(목재),B,웃인방,재(목재),쇠메,"지불, 계산",누름,고용노동부
산승가꾸의 순화어로 알맞은 것은?,3치각,D,준비,드릴,난간,3치각,주걱,고용노동부
입빠이의 순화어로 알맞은 것은?,충분히,D,동바리,비계공,통나무,충분히,주인,고용노동부
야마의 순화어로 알맞은 것은?,톱니(산),B,충분히,톱니(산),수평보기,콘크리트,안옥음,고용노동부
헤베의 순화어로 알맞은 것은?,평방미터,B,눈금,평방미터,재(목재),분배,계단,고용노동부
니마이의 순화어로 알맞은 것은?,두장,E,줄,담합,수도꼭지,주걱,두장,고용노동부
이찌마이의 순화어로 알맞은 것은?,한장,E,창틀,"징두리, 허리",통나무,조립,한장,고용노동부
메모리의 순화어로 알맞은 것은?,눈금,E,콘크리트,"지불, 계산",원형대패,안고 돌기,눈금,고용노동부
산승의 순화어로 알맞은 것은?,3치,B,평방미터,3치,녹막이,비계,천장,고용노동부
노가다의 순화어로 알맞은 것은?,토공,A,토공,볼트 조이기,"틀, 본","뇟쇠, 황동",철물,고용노동부
데모도의 순화어로 알맞은 것은?,보조인부,A,보조인부,버림 콘크리트,구멍철판(P.S.P),재(목재),당김공,고용노동부
시로도의 순화어로 알맞은 것은?,무쟁이,A,무쟁이,손비빔,버림 콘크리트,폭,안옥음,고용노동부
오야지의 순화어로 알맞은 것은?,주인,D,눈금,지렛대,나사송곳,주인,비계공,고용노동부
오야의 순화어로 알맞은 것은?,반장,E,물끊기,"그물, 망",안옥음,문선,반장,고용노동부
도비의 순화어로 알맞은 것은?,비계공,D,구멍철판(P.S.P),콘크리트,풀칠,비계공,품,고용노동부
쇼쿠닝의 순화어로 알맞은 것은?,숙련공,E,채양,문소란,두장,품,숙련공,고용노동부
핫빠리의 순화어로 알맞은 것은?,당김공,A,당김공,쇠흙손,준비,창선반,칸막이벽,고용노동부
도가다의 순화어로 알맞은 것은?,토공,C,준비,토관,토공,수평보기,평방미터,고용노동부
나까마의 순화어로 알맞은 것은?,중간책,B,테이프 자,중간책,발돋움대,가득,걸레받이,고용노동부
도꾸이의 순화어로 알맞은 것은?,단골,E,재(목재),3치,유리,무쟁이,단골,고용노동부
오야가다의 순화어로 알맞은 것은?,"반장,우두머리",B,가불,"반장,우두머리",흙손,기둥,구멍철판(P.S.P),고용노동부
답빠의 순화어로 알맞은 것은?,높이,A,높이,반자틀대,녹막이,고창,기초,고용노동부
데꼬보꼬의 순화어로 알맞은 것은?,울룩불룩,C,문소란,칸막이벽,울룩불룩,넓은날 정,암거래,고용노동부
덴바의 순화어로 알맞은 것은?,윗면,D,평방미터,문소란,누름,윗면,고르기,고용노동부
아다리의 순화어로 알맞은 것은?,맞닿기,A,맞닿기,마감하기,철판,품,수도꼭지,고용노동부
하바의 순화어로 알맞은 것은?,폭,E,드릴,문소란,테이프 자,볼트 조이기,폭,고용노동부
고오바이의 순화어로 알맞은 것은?,경사,C,"지불, 계산",평삽,경사,창틀,구멍철판(P.S.P),고용노동부
나나메의 순화어로 알맞은 것은?,사선,E,눈금,충분히,폭,문지방,사선,고용노동부
시다지의 순화어로 알맞은 것은?,바탕,A,바탕,규준틀,칸막이벽,결속선,폭,고용노동부
겐승의 순화어로 알맞은 것은?,원척도,B,풀칠,원척도,걸레받이,준비,"그물, 망",고용노동부
메지의 순화어로 알맞은 것은?,줄눈,C,가득,마감하기,줄눈,안고 돌기,안옥음,고용노동부
미다시의 순화어로 알맞은 것은?,제치장,B,먹둘놓기,제치장,틀,바름바탕,높이,고용노동부
히꼬미의 순화어로 알맞은 것은?,안옥음,D,보조인부,유리,토공,안옥음,홈파기 대패,고용노동부
다데의 순화어로 알맞은 것은?,세로,C,선반,구멍철판(P.S.P),세로,바탕,맞닿기,고용노동부
요꼬의 순화어로 알맞은 것은?,가로,A,가로,멍에,바탕,함석,창틀,고용노동부
마루의 순화어로 알맞은 것은?,둥근,A,둥근,현장식당,다시하기,짐작,홈파기,고용노동부
시다바의 순화어로 알맞은 것은?,밑면,A,밑면,눈금,"그물, 망",주인,터파기,고용노동부
마루보의 순화어로 알맞은 것은?,둥근봉,C,경사,암거래,둥근봉,주걱,고치기,고용노동부
마루멘의 순화어로 알맞은 것은?,둥근면,D,둥근,철판,줄눈,둥근면,틀,고용노동부
기가다의 순화어로 알맞은 것은?,목형,D,드릴,버팀대,쇠메,목형,기초,고용노동부
고야의 순화어로 알맞은 것은?,헛간,B,드릴,헛간,주인,벽,거푸집,고용노동부
가이당의 순화어로 알맞은 것은?,계단,E,둥근,충분히,수도꼭지,되감기,계단,고용노동부
갓쇼오의 순화어로 알맞은 것은?,ㅅ자보,A,ㅅ자보,쇠흙손,장선,담합,홈파기 대패,고용노동부
게꼬미의 순화어로 알맞은 것은?,계단 챌면,E,되감기,누름,계단참,수평보기,계단 챌면,고용노동부
고시의 순화어로 알맞은 것은?,"징두리, 허리",A,"징두리, 허리",가불,수평보기,둥근봉,동바리,고용노동부
덴죠의 순화어로 알맞은 것은?,천장,A,천장,도급주기,규준틀,보조인부,벽돌,고용노동부
다이의 순화어로 알맞은 것은?,대,B,보,대,둥근톱,테이프 자,울룩불룩,고용노동부
데스리의 순화어로 알맞은 것은?,난간,C,종료,반투명 유리,난간,수평보기,칸막이벽,고용노동부
마구사의 순화어로 알맞은 것은?,웃인방,A,웃인방,버림 콘크리트,도급주기,안옥음,마감하기,고용노동부
마지끼리의 순화어로 알맞은 것은?,칸막이벽,D,현장식당,"징두리, 허리",물끊기,칸막이벽,씻어내기,고용노동부
하바끼의 순화어로 알맞은 것은?,걸레받이,C,누름,둥근면,걸레받이,모접기,버림 콘크리트,고용노동부
단스의 순화어로 알맞은 것은?,옷장,B,비계,옷장,합판,당김공,멍에,고용노동부
문와꾸의 순화어로 알맞은 것은?,문틀,E,한장,야유,주물,마감하기,문틀,고용노동부
미즈끼리의 순화어로 알맞은 것은?,물끊기,A,물끊기,결속선,"그물, 망",콘크리트,마감하기,고용노동부
오도리바의 순화어로 알맞은 것은?,계단참,A,계단참,문소란,주인,흙손,제치장,고용노동부
젠다이의 순화어로 알맞은 것은?,창선반,D,콘크리트,난간,웃인방,창선반,조립,고용노동부
하사시의 순화어로 알맞은 것은?,채양,E,안고 돌기,토공,합판,품,채양,고용노동부
하리의 순화어로 알맞은 것은?,보,D,모접기,주물,칸막이벽,보,지렛대,고용노동부
하시라의 순화어로 알맞은 것은?,기둥,E,문지방,담합,되감기,야유,기둥,고용노동부
유까의 순화어로 알맞은 것은?,바닥,B,조립,바닥,흙손,벽,통나무,고용노동부
가베의 순화어로 알맞은 것은?,벽,D,"그물, 망",창틀,웃인방,벽,모접기,고용노동부
노부찌의 순화어로 알맞은 것은?,반자틀대,A,반자틀대,둥근봉,걸레받이,보,늘리기,고용노동부
다나의 순화어로 알맞은 것은?,선반,A,선반,둥근면,끌,줄,손비빔,고용노동부
기소의 순화어로 알맞은 것은?,기초,C,받침목(써포트),테이프 자,기초,안고 돌기,"징두리, 허리",고용노동부
와꾸의 순화어로 알맞은 것은?,틀,D,마감하기,"뇟쇠, 황동",벽돌 흙손,틀,끌,고용노동부
시끼의 순화어로 알맞은 것은?,문지방,B,처마,문지방,토대,가새,가불,고용노동부
스지까이의 순화어로 알맞은 것은?,가새,D,당김공,합판,수평보기,가새,고르기,고용노동부
도다이의 순화어로 알맞은 것은?,토대,D,벽돌,주인,둥근봉,토대,멍에,고용노동부
도아다리의 순화어로 알맞은 것은?,문소란,A,문소란,원척도,토공,가새,도급,고용노동부
람마의 순화어로 알맞은 것은?,고창,A,고창,안고 돌기,다시하기,대기,단골,고용노동부
마도와꾸의 순화어로 알맞은 것은?,창틀,B,"그물, 망",창틀,보,철판,칸막이벽,고용노동부
시끼이의 순화어로 알맞은 것은?,밑홈대,C,벽돌 흙손,짐작,밑홈대,풀칠,쐐기,고용노동부
모야의 순화어로 알맞은 것은?,중도리,B,주물,중도리,옷장,벽,쇠메,고용노동부
로끼의 순화어로 알맞은 것은?,처마,D,문틀,고창,울룩불룩,처마,"뇟쇠, 황동",고용노동부
바라시의 순화어로 알맞은 것은?,동바리,A,동바리,짐작,재(목재),변통,흙손,고용노동부
가쿠목의 순화어로 알맞은 것은?,각목(角木),D,문바퀴,한장(쌓기),"마감, 끝냄",각목(角木),"동강(나무),
끄트러기, 자투리",대한건설단체총연합회
가쿠부치의 순화어로 알맞은 것은?,문틀선,A,문틀선,선홈통,"노루발 장도리,
쇠지레",달대,덤돋우기(더돋기),대한건설단체총연합회
가쿠자이의 순화어로 알맞은 것은?,각재(角材),D,"잡석(雜石), 막돌","추렴, 주식",되비비기,각재(角材),"배합(配合),
섞음푼수",대한건설단체총연합회
가네가타의 순화어로 알맞은 것은?,"금형, 쇠거푸집",E,"기계비빔, 틀반죽",현관(문간),네 치 각,체가름,"금형, 쇠거푸집",대한건설단체총연합회
가타의 순화어로 알맞은 것은?,"틀, 골",E,한치오푼각,시공이음,적층합판(積層合板),"거꿀씌움
역 라이닝","틀, 골",대한건설단체총연합회
가타키리의 순화어로 알맞은 것은?,외쪽깎기,C,버력,덤돋우기(더돋기),외쪽깎기,굵은철선/쇠줄,임시울타리,대한건설단체총연합회
가타도리의 순화어로 알맞은 것은?,본뜨기,C,두겁대,기준틀,본뜨기,다짐,장남감,대한건설단체총연합회
가타모리의 순화어로 알맞은 것은?,외쪽돋기,B,"가로, 옆",외쪽돋기,무지개 거푸집,창호 철물,토분,대한건설단체총연합회
가타아시바의 순화어로 알맞은 것은?,외줄비계,B,줄기초,외줄비계,"통줄눈, 통사춤",네 치 각,삼 육,대한건설단체총연합회
가타와쿠의 순화어로 알맞은 것은?,거푸집,A,거푸집,채석장(採石場),무지개 거푸집,"면박, 핀잔",동바리,대한건설단체총연합회
가타와쿠이타의 순화어로 알맞은 것은?,거푸집널(판),C,칸자,틀송곳,거푸집널(판),칸막이,"돌림띠, 쇠시리",대한건설단체총연합회
가타이타의 순화어로 알맞은 것은?,본판,B,모접기,본판,지붕이기,내관,녹막이 칠,대한건설단체총연합회
가도의 순화어로 알맞은 것은?,모서리,D,메우기,"난간, 난간끝,
난간머리",곁꾼,모서리,기둥나누기,대한건설단체총연합회
가도가네의 순화어로 알맞은 것은?,"모서리쇠, 귓쇠",D,벽돌,나무틀,배근(配筋),"모서리쇠, 귓쇠",재손질,대한건설단체총연합회
가라네리의 순화어로 알맞은 것은?,"건비빔, 건반죽",C,깔도리,"틀, 울거미, 테","건비빔, 건반죽","갓돌, 턱돌","토사(土砂), 흙모래",대한건설단체총연합회
가라도의 순화어로 알맞은 것은?,"양판문, 양널문",E,"망체, 그물체",함척,"노루발 장도리,
쇠지레",먹매김,"양판문, 양널문",대한건설단체총연합회
가라쓰미의 순화어로 알맞은 것은?,"메쌓기(토),
건성쌓기(건)",B,초인종,"메쌓기(토),
건성쌓기(건)",줄기초 파기,강자갈,"발판널, 비계널",대한건설단체총연합회
가란의 순화어로 알맞은 것은?,수도꼭지,A,수도꼭지,자,"기울기, 물매",구멍철판,오 푼 널,대한건설단체총연합회
가리가코이의 순화어로 알맞은 것은?,임시울타리,E,쐐기,"받침쇠, 와셔
(washer)","제비뽑기, 추첨",재칠,임시울타리,대한건설단체총연합회
가리고야의 순화어로 알맞은 것은?,헛간,C,"바닥, 마루","건비빔, 건반죽",헛간,치수,함척,대한건설단체총연합회
가리구미타테의 순화어로 알맞은 것은?,임시조립,E,"세로줄눈, 세로사춤",삼 육,"배철근, 스터럽
(stirrup)","맞댐면, 접합면",임시조립,대한건설단체총연합회
가리시메의 순화어로 알맞은 것은?,임시죄기,C,여유,갈이틀,임시죄기,늘이기,물푸기,대한건설단체총연합회
가리시메키리의 순화어로 알맞은 것은?,임시물막이,A,임시물막이,끝마구리,하도급,버릇,구멍철판,대한건설단체총연합회
가리지쿠토의 순화어로 알맞은 것은?,"축도(築島), 임시섬",C,"널 말뚝(토)
흙막이널(건)",각목(角木),"축도(築島), 임시섬",우선지급,"정, 강철끌",대한건설단체총연합회
가마치의 순화어로 알맞은 것은?,"울거미, 문틀",C,흙막이,송곳닛돌,"울거미, 문틀",처마도리,"미레자, 곱자,
곡척",대한건설단체총연합회
가베의 순화어로 알맞은 것은?,벽,E,"널 말뚝(토)
흙막이널(건)","갓돌, 턱돌",품셈,구멍철판,벽,대한건설단체총연합회
가부리아쓰사의 순화어로 알맞은 것은?,"거죽두께, 덮임두께",D,난간,나사,본기둥,"거죽두께, 덮임두께",기둥,대한건설단체총연합회
가사네쓰기테의 순화어로 알맞은 것은?,"겹이음(토), 겹침",C,"3mm합판,
1푼합판",공간 쌓기,"겹이음(토), 겹침",지붕보,"받침목, 침목(枕木)",대한건설단체총연합회
가사키의 순화어로 알맞은 것은?,두겁대,E,"품삯(노임), 계산, 셈",적중,"마구리, 잔머리","다짐바닥, 토방",두겁대,대한건설단체총연합회
가스가이의 순화어로 알맞은 것은?,꺾쇠,E,돌가루,"돌붙임, 붙임돌","부본(副本), 덧벌, 베낌벌",기초,꺾쇠,대한건설단체총연합회
가와네리의 순화어로 알맞은 것은?,"마른비빔, 건비빔",C,나사돌리개(드라이버),덤핑(입찰의),"마른비빔, 건비빔",차양(遮陽),도맡기,대한건설단체총연합회
가와스나의 순화어로 알맞은 것은?,강모래,B,"부본(副本), 덧벌, 베낌벌",강모래,뒷길이,뒤채움,"각재, 모나무",대한건설단체총연합회
가와자리의 순화어로 알맞은 것은?,강자갈,A,강자갈,"시방서, 방법서",잔다듬(기),바탕,창선반,대한건설단체총연합회
가이단의 순화어로 알맞은 것은?,"층계, 계단",E,회반죽,누름콘크리트,마구리 쌓기,한장(쌓기),"층계, 계단",대한건설단체총연합회
가쿠부치의 순화어로 알맞은 것은?,"창문선, 틀",C,"냄새막이관
트랩(trap)",오 푼 널,"창문선, 틀","정, 끌",공간 쌓기,대한건설단체총연합회
가쿠세키의 순화어로 알맞은 것은?,"네모돌, 각석, 모돌",C,말뚝박기,"배합(配合),
섞음푼수","네모돌, 각석, 모돌","풋내기, 애숭이, 신출내기",꺾쇠,대한건설단체총연합회
가쿠자이의 순화어로 알맞은 것은?,"각재, 모나무",B,"창호(窓戶), 창문","각재, 모나무",(건설현장근로자),"상태, 가락",라이닝(lining),대한건설단체총연합회
간데라의 순화어로 알맞은 것은?,"칸델라, 호롱불",E,라이닝(lining),야유,"분배, 나눔, 노늠","페인트, 칠, 양칠","칸델라, 호롱불",대한건설단체총연합회
간조의 순화어로 알맞은 것은?,"품삯(노임), 계산, 셈",E,창틀,"줄눈대,사춤대",고름질,"석재(石材), 돌","품삯(노임), 계산, 셈",대한건설단체총연합회
갓쇼의 순화어로 알맞은 것은?,ㅅ(시옷) 자보,A,ㅅ(시옷) 자보,기다림,지붕(바탕)널,삽입근,"심보, 본색",대한건설단체총연합회
게코미의 순화어로 알맞은 것은?,"챌면, 챌판",A,"챌면, 챌판","창문선, 틀",흙밭,임시울타리,강모래,대한건설단체총연합회
